object,r_Mpc,v_kms,local_group
S. Mag.,0.032,170,1
L. Mag.,0.034,290,1
N.G.C. 6822,0.214,-130,1
N.G.C. 598,0.263,-70,1
N.G.C. 221,0.275,-185,1
N.G.C. 224,0.275,-220,1
N.G.C. 5457,0.45,200,0
N.G.C. 4736,0.5,290,0
N.G.C. 5194,0.5,270,0
N.G.C. 4449,0.63,200,0
N.G.C. 4214,0.8,300,0
N.G.C. 3031,0.9,-30,0
N.G.C. 3627,0.9,650,0
N.G.C. 4826,0.9,150,0
N.G.C. 5236,0.9,500,0
N.G.C. 1068,1.0,920,0
N.G.C. 5055,1.1,450,0
N.G.C. 7331,1.1,500,0
N.G.C. 4258,1.4,500,0
N.G.C. 4151,1.7,960,0
N.G.C. 4382,2.0,500,0
N.G.C. 4472,2.0,850,0
N.G.C. 4486,2.0,800,0
N.G.C. 4649,2.0,1090,0
