object,r_Mpc,method,v_helio_kms,v_cmb_kms
NGC 4258,6.4,Maser,461,667
NGC 3368,9.72,Cepheids,888,1237
NGC 3627,8.73,Cepheids,722,1070
NGC 4321,14.2,Cepheids,1571,1896
NGC 4535,14.8,Cepheids,1964,2299
NGC 4536,12.2,Cepheids,1808,2151
NGC 4548,14.3,Cepheids,486,808
NGC 1365,17.2,Cepheids,1636,1539
NGC 1425,20.9,Cepheids,1512,1412
NGC 2403,2.88,Cepheids,133,182
NGC 300,1.49,Cepheids,147,-88
NGC 3351,8.99,Cepheids,779,1128
NGC 3982,20.5,Cepheids,1122,1291
NGC 4496A,13.6,Cepheids,1730,2072
NGC 4639,19.7,Cepheids,1025,1345
IC 4182,4.07,Cepheids,321,550
NGC 5253,3.01,Cepheids,407,681
NGC 7331,14.4,Cepheids,816,490
NGC 4038,18.1,Cepheids,1624,1979
NGC 5236,4.5,Cepheids,513,793
NGC 4594,6.22,Cepheids,1089,1433
NGC 1097,24.1,SNII (optical),1271,1105
NGC 2841,13.1,Cepheids,635,806
NGC 3379,8.8,SBF,907,1255
NGC 3115,8.51,SBF,686,1041
NGC 1023,9.6,SBF,636,432
NGC 4494,15,SBF,1342,1634
NGC 5866,14.7,SBF,755,825
NGC 4278,14.9,SBF,649,934
NGC 7619,53,SBF,3762,3391
NGC 3384,9.46,SBF,704,1051
NGC 4589,20.4,SBF,1980,2030
NGC 2986,29.7,SNIa,2302,2637
NGC 1400,16.3,SBF,590,467
UGC 3789,49.6,Maser,3185,3245
NGC 6264,144,Maser,10145,10145
NGC 5765b,126,Maser,8257,8465
NGC 6323,107,Maser,7695,7662
CGCG 074-064,74.4,FP,6915,7175
